gene,c,coeff,pval,group,importance
RFC2,RPA4,-0.11075065706161315,0.005730166426364769,er,4.690567255707823e-6
RFC3,EXO1,0.027831230774764508,0.48875681590488396,er,4.487532714098963e-6
RFC3,HMGB1,-0.09693952202377301,0.015668502735909036,er,7.907102061657012e-6
RFC3,LIG1,-0.08459452240793063,0.03506418110286246,er,3.1012275342432448e-6
RFC3,MLH1,0.03418782207901754,0.3950536678155031,er,4.2211423827722695e-6
RFC3,MSH2,-0.051179012986603406,0.20279116033648786,er,5.275286167732318e-6
RFC3,MSH6,-0.024343289287552826,0.5448473799573671,er,2.7746420495704526e-6
RFC3,RFC3,-0.14515828378389886,2.8421583262588674e-4,er,1.912069381457382e-5
RFC3,RFC5,-0.029273340716661298,0.4665069480894727,er,3.3498575913690763e-6
RFC3,RPA1,0.017161315636612946,0.6695049079144004,er,2.6949142949017625e-6
RFC3,RPA2,0.04426445413644941,0.2707304396641579,er,4.775772192501249e-6
RFC4,EXO1,0.09789546489841199,0.014667283301411763,er,6.088190992377245e-4
RFC4,HMGB1,0.10028828063743085,0.01240382792724872,er,5.68321756080058e-4
RFC4,LIG1,0.07461581609214295,0.063131911617216,er,5.578994516316313e-4
RFC4,PCNA,0.005390685281813304,0.8933507744895566,er,7.849020532918155e-4
RFC4,PMS1,0.12476910969429943,0.001838534770449697,er,0.0012775456970931783
RFC4,POLD3,0.09545934357527995,0.017337188313820296,er,3.677934848318427e-4
RFC4,RFC2,0.09792266499509329,0.014639637498638692,er,5.795322066528696e-4
RFC4,RFC3,0.11423392250033013,0.0043678717000180224,er,0.0022527728383004786
RFC4,RFC4,-0.07960050067108904,0.04739146950443716,er,0.0012205615362068452
RFC4,RFC5,0.04439414076796815,0.2693277415801843,er,4.814808153468579e-4
RFC4,RPA1,0.04395397748359622,0.27410883888298915,er,3.851999213384294e-4
RFC5,HMGB1,0.04595111960280251,0.25287548156680456,er,8.947670418653053e-5
RFC5,LIG1,-0.00536086720509543,0.893937206498115,er,5.543068503883908e-5
RFC5,MSH2,0.04201866179412964,0.29581422176552097,er,6.467645476027717e-5
RFC5,MSH6,0.03912590458504551,0.33034417258696425,er,5.883507752164463e-5
RFC5,PCNA,-0.07319601690301546,0.06833277626456578,er,1.5194856387638268e-4
